"","index","date","player","old_club","new_club","fee"
"1",570,2020-02-01,"Jürgen Locadia","Brighton & Hove Albion","FC Cincinnati","loan"
"2",1,2020-02-03,"Anthony Scully","West Ham United","Lincoln City","Undisclosed"
"3",2,2020-02-04,"Kwame Thomas","Unattached","Burton Albion","Free"
"4",3,2020-02-06,"Mike te Wierik","Groningen","Derby County","Free"
"5",4,2020-02-06,"Darron Gibson","Unattached","Salford City","Free"
"6",820,2020-02-06,"Mikkel Damsgaard","Nordsjælland","Sampdoria","Undisclosed"
"7",821,2020-02-06,"Luca Magnino","FeralpiSalò","Pordenone","Free"
"8",5,2020-02-08,"Donovan Wilson","Burgos","Macclesfield Town","Free"
"9",6,2020-02-11,"Ben Tollitt","Unattached","Macclesfield Town","Free"
"10",7,2020-02-17,"Dimitri Cavaré","Barnsley","FC Sion","Undisclosed"
"11",8,2020-02-18,"Robbie Burton","Arsenal","Dinamo Zagreb","Undisclosed"
"12",822,2020-02-18,"Emre Can","Juventus","Borussia Dortmund","€25m"
"13",9,2020-02-21,"Miles Welch-Hayes","Unattached","Colchester United","Free"
"14",10,2020-02-21,"Tommy Smith","Unattached","Sunderland","Free"
"15",11,2020-02-24,"Hakim Ziyech","Ajax","Chelsea","£40m"
"16",823,2020-02-28,"Carles Pérez","Barcelona","Roma","€11m"
"17",824,2020-02-28,"Jordan Veretout","Fiorentina","Roma","Undisclosed"
"18",825,2020-02-28,"Gianluca Mancini","Atalanta","Roma","Undisclosed"
"19",12,2020-03-02,"Alan Sheehan","Unattached","Lincoln City","Free"
"20",13,2020-03-04,"Victor Wanyama","Tottenham Hotspur","Montreal Impact","Free"
"21",14,2020-03-11,"Williams Kokolo","Sunderland","Middlesbrough","Free"
"22",15,2020-03-12,"Dino Visser","Unattached","Crewe Alexandra","Free"
"23",826,2020-03-13,"Adam Chrzanowski","Lechia Gdansk","Pordenone","Undisclosed"
"24",1585,2020-05-20,"Aritz Aduriz","Athletic Bilbao","Retired","Retired-Retired"
"25",827,2020-05-31,"Mauro Icardi","Inter","Paris Saint-Germain","Undisclosed"
"26",16,2020-06-01,"Jermain Defoe","Bournemouth","Rangers","Free"
"27",17,2020-06-09,"Calvin Bassey","Leicester City","Rangers","Free"
"28",828,2020-06-09,"Andrea Barberis","Crotone","Monza","Undisclosed"
"29",829,2020-06-11,"Adrian Šemper","Dinamo Zagreb","Chievo","Undisclosed"
"30",18,2020-06-15,"Nathan McGinley","Forest Green Rovers","Motherwell","Free"
"31",830,2020-06-15,"Delano Burgzorg","Spezia","Heracles Almelo","Undisclosed"
